review,O,C,E,A,N ,Helpfulness,Tiêu_cực,Trung_tính,Tích_cực
chất_lượng sản_phẩm tuyệt_vời truyện hay rất đáng tiền có ship cao quá,0.4889,0.6131,0.5012,0.7119,0.3496,0.54,0.0,0.0,1.0
mặt hơi to,0.3772,0.3025,0.4527,0.3161,0.7173,0.19,0.64,0.34,0.02
nhjn dep lam,0.3283,0.1834,0.5457,0.1124,0.9272,0.37,0.01,0.01,0.98
giây may sáu quá lôi may đường tê quá,0.4371,0.3276,0.6225,0.3863,0.6931,0.27,0.02,0.98,0.0
giao hàng thiếu không trả_lời nhắn_tin cửa_hàng quá kém,0.3711,0.3737,0.4357,0.3973,0.6394,0.14,0.93,0.02,0.05
mua hàng giao giày hư trả hàng không thiện_chí nhận đăng lên shope không mua kêu tốn phí ship vậy tui mua bạn giao giày vậy bạn đóng_gói sản_phẩm rất kém cửa_hàng_phục_vụ rất kém,0.626,0.7763,0.7394,0.8495,0.3055,0.16,0.99,0.0,0.01
hài_lòng 3 đôi giày,0.4409,0.4672,0.4624,0.586,0.4393,0.11,0.0,0.0,1.0
ốp bị xước nhiều hơi cũ dù s sp đẹp rất đáng tiền,0.4406,0.4504,0.5128,0.5032,0.5327,0.62,0.02,0.09,0.89
cùng hãng linkcard bộ mình mua mềm hơn bộ vải cứng nóng muốn đổi trả cửa_hàng vòng_vo 1 ngày không đưa ra giải_pháp nói do khách cảm_nhận cá_nhân ? ? ? không trả được nói_thẳng chứ bạn cách giải_quyết khiếu_nại làm mình hơi bị buồn khó_chịu chất_lượng sản_phẩm kém,0.514,0.7958,0.5468,0.6778,0.5504,0.52,1.0,0.0,0.0
chất_lượng sản_phẩm rất kém rất không đáng tiền kính không có keo toàn_bộ có keo viền màu đen khiến màn_hình trở_nên lem_nhem bạn nên chọn loại khác nhé,0.554,0.776,0.6199,0.7589,0.4151,0.69,0.99,0.0,0.01
sạc máy opo 2 tiếng mới đk có 3 sạc hết pin sạc cả đêm cũng không đầy chất_lượng sản_phẩm rất kém,0.5323,0.7324,0.5558,0.8017,0.3027,0.52,1.0,0.0,0.0
giá tốt,0.4841,0.5133,0.5142,0.7508,0.2467,0.15,0.0,0.03,0.96
hài_lòng giống hình,0.4448,0.4585,0.4685,0.5955,0.4238,0.19,0.01,0.16,0.83
chất_liệu sản_phẩm vải xô chứ không phải coton lót nỉ giới_thiệu không hài_lòng về chất_lượng,0.5042,0.7361,0.5248,0.7234,0.402,0.4,1.0,0.0,0.0
ăn ngon,0.3694,0.3178,0.5085,0.3036,0.7227,0.18,0.03,0.08,0.89
phục_vụ tận_tình giáo hàng nhanh đóng_gói kĩ,0.4558,0.4427,0.5387,0.5498,0.4874,0.18,0.0,0.02,0.97
sản_phẩm tốt mạnh còn chờ độ bềnh được bao_lâu,0.3823,0.3802,0.4213,0.4166,0.6133,0.22,0.0,0.02,0.98
mình mua 2 chai đều bị cũ có phải hết date nên giá rẻ không shop ? hàng tiêu_dùng ghi hsd chứ có ghi nsx đồ ăn đâu đáy chai ghi 2018 01 04 đóng_gói sản_phẩm tốt dán băng_dính chống bung nắp,0.527,0.7869,0.589,0.6976,0.5141,0.51,0.74,0.04,0.23
ổn so vs mức giá,0.4057,0.5141,0.3695,0.6128,0.3985,0.29,0.01,0.57,0.43
đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời cảm_thấy hài_lòng nhận sản_phẩm nhận được hàng nhanh sẽ tiếp_tục mua ủng_hộ cửa_hàng dài_dài,0.5928,0.8034,0.6841,0.8006,0.3875,0.75,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời dép rất đẹp đóng_gói cẩn_thận sẽ ủng_hộ cửa_hàng dài_dài,0.6213,0.7578,0.7312,0.8915,0.2057,0.74,0.0,0.0,1.0
giao hàng nhanh đóng_gói cẩn_thận hàng xài tốt,0.454,0.4957,0.5517,0.6176,0.4188,0.44,0.0,0.13,0.87
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh giày êm siêu nhẹ chị chủ nc dễ_thương,0.6699,0.7644,0.8156,0.904,0.2199,0.75,0.0,0.0,0.99
mua xong về hối_hận loa nghe nhỏ quá muốn đổi trả thế_nào vậy ?,0.4202,0.5598,0.4221,0.5876,0.4734,0.35,1.0,0.0,0.0
camera nhìn mắt cua,0.4767,0.4029,0.6096,0.5186,0.5636,0.21,0.95,0.05,0.0
tưởng đâu nội_dung nói về hành_trình thành_công exo tâm_sự tuổi hồng d hướng_dẫn fan cần đằng toàn câu hỏi vớ_vẩn vậy fan lâu năm hầu_như_ai chả biết chi_bằng lên gogle đầy câu hỏi mau vui thất_vọng thật_sự được card chibi khá xinh,0.5387,0.8093,0.5745,0.7496,0.4412,0.16,0.38,0.57,0.05
dùng rất mát mềm da hiệu_quả tức_thì mình đặc_biệt dùng gel chuốt lên lông_mi lông_mày làm dày dài ngoài_ra còn dùng bôi lên vùng da bị khô nữa lần sau_hết mua cửa_hàng tiếp,0.6047,0.7858,0.7121,0.8336,0.3512,0.89,0.0,0.05,0.95
lên 4g oách,0.3652,0.3323,0.4873,0.3279,0.7383,0.14,0.0,0.1,0.89
bình dùng rất thích cảm_ơn cửa_hàng,0.4239,0.4513,0.4832,0.5201,0.5271,0.17,0.0,0.01,0.99
mua hàng cửa_hàng rất uy_tín,0.4902,0.4617,0.5647,0.66,0.3549,0.12,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời đẹp lắm cửa_hàng ơi không chê vào đâu được đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền,0.6702,0.7518,0.8127,0.8922,0.2344,0.64,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời toàn chữ trung_quốc,0.4203,0.4699,0.4553,0.5112,0.5514,0.23,0.0,0.0,1.0
hàng mua xong ăn rất dở so mua bên ngoài circle không cửa hang khác mọi không nên mua,0.5096,0.6678,0.5158,0.8095,0.207,0.46,1.0,0.0,0.0
hàng tốt tốt lắm,0.5496,0.429,0.6812,0.747,0.3138,0.07,0.0,0.02,0.97
giày đẹp chất_lượng ạ sẽ ủng_hộ lần,0.5087,0.4708,0.6041,0.6641,0.3673,0.58,0.01,0.1,0.9
son mềm thơm sẽ mua thêm hàng shope sản_phẩm_chất_lượng tốt,0.4803,0.5562,0.5221,0.6637,0.3811,0.75,0.0,0.0,1.0
rất đẹp chất_lượng,0.5698,0.4923,0.7038,0.7411,0.3075,0.33,0.01,0.01,0.99
tạm bàn_phím dán keo tệ quá tệ thằng nhóc ngồi gỡ 1 lúc không còn phím nản thiệt chớ,0.3752,0.5599,0.4069,0.43,0.6914,0.46,1.0,0.0,0.0
dùng rất tít mua về chồng chồng sướng quá hihi,0.4622,0.3406,0.6029,0.4959,0.5745,0.22,0.0,0.01,0.99
giao hàng thần_tốc giá rẻ hài_lòng,0.451,0.4315,0.5466,0.5731,0.4617,0.38,0.01,0.08,0.91
kẹo chua hơnko giống loại mua siêu_thị thái_lan,0.4015,0.425,0.4385,0.4544,0.5581,0.31,0.99,0.0,0.01
cửa_hàng giao thiếu đồ nhắn_tin cửa_hàng không trả_lời,0.3776,0.4557,0.384,0.5042,0.5234,0.13,0.96,0.03,0.0
sản_phẩm tốt giao hàng nhanh,0.4047,0.4016,0.4892,0.5049,0.528,0.4,0.0,0.04,0.96
gọi điện dặn_dò cửa_hàng kiểu con đà_điểu kết_quả cửa_hàng 10 một phản_hồi bảo ngẫu_nhiên lần đặt 2 18 gửi 1 18 1 15m nói_chung phục_vụ kém thái_độ không tốt,0.6039,0.7965,0.7032,0.8223,0.3536,0.36,0.98,0.0,0.02
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rat hai long,0.5725,0.7428,0.6553,0.7691,0.3839,0.5,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh thankyou cửa_hàng,0.6473,0.7678,0.7834,0.9145,0.2011,0.58,0.0,0.0,1.0
mình nhập đúng tên mật_khẩu không vào được,0.3792,0.3305,0.4297,0.3997,0.616,0.24,0.0,0.98,0.01
đóng_gói sản_phẩm rất kémgiày bị móp méo hơi ố vàng,0.3791,0.5219,0.3886,0.4807,0.5779,0.32,1.0,0.0,0.0
chat luong tốt đóng_gói tốt có đường chua chắc_chắn lắm thoi nhug tốt 5,0.5756,0.6653,0.646,0.851,0.1989,0.69,0.0,0.0,1.0
nhìn giống hàng chơi em bé,0.4128,0.3616,0.513,0.4052,0.6428,0.14,0.73,0.27,0.0
chất_lượng sản_phẩm tuyệt_vời đẹp lắm luôn,0.5171,0.415,0.6265,0.6056,0.4435,0.39,0.0,0.0,1.0
kết_nối smart tivi android box smart phone ipad chất_lượng sóng wifi yếu thỉnh_thoảng châp chờn thiết_bị cách khoảng 3m cũng không nhận ful sóng hiện_nay tôi đang sử_dụng thiết_bị cũ dlink dir 605l 2angten phát_sóng còn mạnh ổn_định hơn sản_phẩm vừa mua tp link archer c50 4angten thiết_bị phát wifi mạng vietel dlink dir 605l dù xa thiết_bị chất_lượng sóng wifi tốt không chập_chờn tôi không hài_lòng chất_lượng sản_phẩm,0.5373,0.845,0.5748,0.7588,0.4412,0.49,1.0,0.0,0.0
được cửa_hàng tư_vấn tận_tình,0.4241,0.3169,0.5142,0.4035,0.6275,0.13,0.0,0.06,0.94
màu_sắc dễ_thương wa chừng 5cai 60k vải cũng đẹp nữa,0.5694,0.6551,0.6295,0.8529,0.1762,0.49,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền mang size 36 nên đặt 35 vừa,0.5137,0.6611,0.5408,0.7502,0.3241,0.53,0.0,0.0,1.0
không giao hàng,0.3147,0.1617,0.5211,0.1752,0.8694,0.15,0.99,0.01,0.0
sản_phẩm chạy được 30 phút ngưng không chạy nữa kim nhấc không lên nổi nói_chung chất_lượng kém lắm,0.511,0.7069,0.5035,0.7759,0.3132,0.52,1.0,0.0,0.0
sách dễ bị bong tróc phần bìa chất_lượng giấy mức hoàn_thiện chưa tốt phần keo cũng chưa tốt,0.5432,0.7176,0.5872,0.8649,0.1871,0.56,0.99,0.01,0.01
giao hàng hơi lâu dat 2 dôi giao 1 đôi đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời,0.5894,0.7468,0.6888,0.8341,0.2963,0.47,0.0,0.0,1.0
y nhu keo 502 keo 39k ma phi giao hang 30k dan giay không an tuc muon dien thiet chu,0.4454,0.7053,0.4228,0.6758,0.4325,0.11,0.0,0.0,1.0
mẫu đẹp y hình,0.5495,0.5607,0.6191,0.7774,0.2526,0.25,0.01,0.14,0.85
tôi chả hiểu ý_tưởng xây hầm ngầm vượt sông hồng giải_quyết ùn_tắc nữa,0.5248,0.6767,0.5567,0.7221,0.3927,0.08,0.69,0.31,0.0
dây bé tí dán không kỹ,0.3799,0.293,0.478,0.3589,0.6756,0.32,0.96,0.03,0.01
luc giao hang chang thay hop dau dua ch cai chai boc lop nhua la xog thay khong thich roi tinh tra hang ma ngi dang can nen de xai buc boi giong mua hang,0.5942,0.7705,0.676,0.827,0.3002,0.4,0.99,0.0,0.0
đóng hàng chắc_chắn giáo hàng sieu nhah giá rẻ sp được,0.4745,0.5039,0.5364,0.6247,0.4221,0.59,0.02,0.16,0.82
xài rất thích đánh kem nền rất mịn đẹp rất đáng tiền,0.6592,0.6054,0.8601,0.8619,0.2057,0.55,0.0,0.0,1.0
mặt_nạ đắp sướng lăm luôn ạ giao hàng siêu nhanh,0.4701,0.3912,0.6132,0.4959,0.5784,0.5,0.0,0.0,1.0
con ip chạy android đây đẹp ngon quá,0.4643,0.4427,0.5424,0.5389,0.5051,0.28,0.99,0.0,0.01
hàng tốt đóng_gói chắc_chắn thời_gian giao hàng nhanh nhân_viên giao hàng nhiệt_tình,0.551,0.7,0.6381,0.8228,0.2567,0.22,0.0,0.01,0.98
sản_phẩm giòn ngon giao hàng nhanh đóng_gói cẩn_thận sẽ tiếp_tục ủng_hộ cửa_hàng,0.5381,0.7655,0.5813,0.82,0.2708,0.71,0.0,0.0,0.99
bạn ấy giao hàng kém chất_lượng bị khách nói quay ra sỉa sói khách vãi cả bạn 500 ốp có 1 mình mình chê hàng kém chất_lượng coi tiền vứt chó nó gặm,0.5739,0.7485,0.6709,0.7524,0.4266,0.37,1.0,0.0,0.0
chất_lượng sp phù_hợp vs giá,0.4264,0.4022,0.4811,0.5089,0.5159,0.25,0.0,0.05,0.95
giày hơi chật cửa_hàng ạ,0.4178,0.4674,0.4574,0.5103,0.5502,0.18,0.59,0.34,0.07
giá_cả hợp_lý sản_phẩm tốt mềm viền lưng bụng cũng mềm nữa giao hàng nhanh,0.5873,0.6913,0.66,0.8984,0.1368,0.72,0.02,0.25,0.73
máy rung tốt cấp_độ đều sử_dụng được cửa_hàng giao hàng nhanh gói hàng kĩ_càng hàng nhìn chất_lượng,0.6139,0.7389,0.7152,0.915,0.1687,0.54,0.01,0.22,0.77
chất_lượng sản_phẩm kém mình thấy son không phải son lì rất dễ trôi,0.4397,0.5467,0.449,0.605,0.4646,0.52,0.97,0.0,0.03
cảm_ơn bạn nhé,0.4272,0.3434,0.5515,0.3901,0.6737,0.01,0.0,0.58,0.42
chất_lượng sản_phẩm rất kém hàng rất tệ tôi rất muốn trả hàng shope có_thể giúp ko ?,0.5323,0.7139,0.5752,0.7823,0.3212,0.4,0.98,0.0,0.02
chả hiểu mình lắp thẻ_nhớ vào điện_thoại mình máy nó chạy rất chậm đụng vào thẻ_nhớ máy đơ luôn tháo thẻ_nhớ ra máy chạy bình_thường,0.5623,0.7244,0.6525,0.7838,0.351,0.42,0.95,0.05,0.0
đặt 3 đôi 1 đôi màu đỏ bị phai hết màu đỏ ra chân rửa chân mãi mới sạch còn 1 đôi bạn người_thương_binh đặt số 39 gửi về 1 chân 38 1 chân 39,0.5897,0.7672,0.6829,0.8498,0.2638,0.23,0.0,0.0,1.0
sp đẹp thank cửa_hàng nhiều nhé chúc cửa_hàng có nhiều khách_hàng hơn,0.4936,0.6575,0.4692,0.7929,0.2301,0.27,0.0,0.0,1.0
bánh vừa thơm vừa ngon bên nhiều kem sẽ ủng_hộ cửa_hàng dài ạ,0.5563,0.609,0.6254,0.8173,0.2198,0.59,0.01,0.0,0.99
thời_gian giao hàng rất chậm chất_lượng sản_phẩm loz,0.4017,0.4171,0.4692,0.4495,0.6333,0.34,0.99,0.0,0.0
giày hình,0.4329,0.5075,0.4279,0.5996,0.4219,0.16,0.06,0.53,0.41
giao hàng nhanh gói hàng rất tốt nhen,0.4678,0.4841,0.605,0.6386,0.4341,0.23,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh có_điều trc giao hàng mình có nhắn_tin cửa_hàng không thấy phản_hồi còn về sản_phẩm mình rất ưng_í,0.6047,0.8075,0.7013,0.8273,0.3692,0.52,0.0,0.0,1.0
chất_lượng sản_phẩm rất kém dùng chưa đầy 2 ngày chế,0.4295,0.4622,0.4705,0.5471,0.5053,0.41,1.0,0.0,0.0
đồng_hồ đẹp lắm cửa_hàng nhá cửa_hàng dịch_vụ cũng rất tốt ạ nói_chung rất hài_lòng mua hàng cửa_hàng vote cửa_hàng ạ,0.6947,0.7497,0.8524,0.9516,0.1365,0.6,0.0,0.0,1.0
chăn ủ mỏng đóng_gói sản_phẩm rất đẹp chắc_chắn,0.4757,0.5663,0.5193,0.6483,0.4089,0.48,0.02,0.19,0.78
đóng_gói sản_phẩm chắc_chắn giao bịch tã bao_bì cũ dính đầy bụi,0.4831,0.6839,0.508,0.71,0.3897,0.3,0.03,0.43,0.55
hàng quá tồi giao hàng gãy mất tin,0.3679,0.2112,0.5957,0.2146,0.8502,0.28,0.98,0.02,0.01
sản_phẩm rất tốt có 1 điểm trừ sản_phẩm 1 xíu hết mùi không giữ được lâu lắm họp vs giá tiền,0.5237,0.6878,0.5378,0.7933,0.2859,0.67,0.03,0.2,0.77
best lipbalm ever,0.3541,0.3273,0.4682,0.3077,0.7437,0.01,0.0,0.33,0.67
cửa_hàng giao thiếu hàng mình mình nhắn_tin nói kiểm_tra im luôn không trả_lời,0.5161,0.6369,0.5492,0.79,0.2832,0.17,0.99,0.01,0.0
ôi that đẳng_cấp thật đột phát về công_nghệ nữa kìa,0.4487,0.5321,0.4708,0.6028,0.4404,0.2,0.0,0.0,1.0
ưng lắm cửa_hàng ạ sẽ ủng_hộ cửa_hàng dài_dài,0.5635,0.6801,0.6248,0.8686,0.1744,0.44,0.0,0.03,0.96
hơn 200k một thỏi son cũng không phải rẻ so dân văn_phòng mình son suri pure mate lipstick e272 làm mình thất_vọng màu son đẹp môi khá khô hơn nữa uống nước_son dính lên vành_ly rất khó_chịu làm mình phải lau đi ăn_uống trôi sạch lần cũng dùng một thỏi son thạch mira thấy rất ưng do hiện không còn sản_phẩm nữa nên sử_dụng qua loại thấy tệ quá thấy mọi khen nhiều mình không ưng chút,0.6028,0.8283,0.7035,0.8217,0.4104,0.78,0.84,0.06,0.1
mình mua sản_phẩm bị lỗi đổi trả 2 lần mong tiki chú_trọng chất_lượng sản_phẩm hơn tuy_nhiên 4 dịch_vụ giao hàng đổi trả tiki,0.501,0.726,0.5493,0.6968,0.4616,0.42,0.04,0.01,0.96
mùi thơm dễ_chịu quá chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn,0.5928,0.7287,0.6912,0.8132,0.3268,0.54,0.0,0.0,1.0
bàn_chải dùng siêu thích siêu sạch mềm_mại cửa_hàng tư_vấn nhiệt_tình 5 5 5,0.5656,0.7098,0.6255,0.817,0.2681,0.7,0.0,0.0,1.0
sài được 2 tháng tốc_độ còn 144 mbps bảo_hành có dùng được trường_hợp không vậy,0.4951,0.6914,0.4837,0.7899,0.2674,0.48,0.81,0.05,0.14
alienware trùm hỏng vặt được mã giá bình_thường thậm_chí còn rẻ hơn so asus msi có điên mới mua con alien 18 con đã hết sản_xuất từ 2 năm đang clear hàng dùng cpu haswel không phải skylake đời còn,0.5587,0.7823,0.6241,0.7781,0.3803,0.35,1.0,0.0,0.0
mua loa loyfun cửa_hàng giao loa uoudio không hiểu tại_sao giao hàng nhanh_chóng,0.5139,0.6929,0.5474,0.7969,0.2986,0.25,0.0,0.88,0.12
sản_phẩm hk đúng mong_đợi,0.375,0.312,0.4872,0.2996,0.738,0.19,0.0,0.15,0.85
tôi thực_sự không thích cuốn sách tôi không thích nó cũng tất_cả loại sách self help ngày_nay về cơ_bản thông_điệp tác_giả muốn nhắn_gửi bạn muốn làm một bạn hãy thực_hiện nó hết_sức mình không quan_tâm xung_quanh không nghi_ngờ về trên hết không cần để_ý chỉ_trích nhắm vào bạn tôi không đồng_ý quan_điểm tác_giả không bởi_vì quan_điểm sai bởi_vì nó quá tệ bạn đam_mê một thứ điều chưa chắc đã tốt theo quan_điểm tôi thông_điệp đi theo tiếng gọi trái_tim không phải lúc_nào cũng đúng tại_sao con tim chúng_ta tin vào điều phi_logic ? chúng_ta tự mình quyền phán_xét sự_thật ? chẳng phải rằng không một muốn nhìn thấy kết_quả đạt được từ nỗ_lực bản_thân_hóa ra khiến ta thất_vọng hay ? chưa hết tôi đánh_giá thông_điệp không được phép đa_nghi một thông_điệp_tệ chúng_ta không hoài_nghi chính cách tốt nhất tự biến mình thành một kể thiếu hiểu_biết hay tệ hơn thành một mù một không cân_nhắc nghiêm_túc về thứ họ theo_đuổi vì_sao tin vào điều có_thể điều ngược_lại mới đúng tôi tin rằng họ đang cư_xử theo một_cách nguy_hiểm thiếu trung_thực tôi tin rằng không để_ý chỉ_trích từ xung_quanh một sai_lầm nghiêm_trọng thế_giới hiện_đại ngày_nay một_số thường ngó lơ cần_thiết tập_thể cộng_đồng họ quá đề_cao quyền nhu_cầu cá_nhân một_số trường_hợp nhất_định đi ngược_lại tập_thể có_thể đúng sẽ rất cần_thiết chúng_ta cân_nhắc ý_kiến mọi quyết_định điều,0.539,0.8238,0.5818,0.7607,0.4389,0.06,1.0,0.0,0.0
phần lồng chiên cá bị dính dã_man mặc_dù quảng_cáo không dính chà_rửa một thời_gian tróc luôn phần chống dính,0.5911,0.7508,0.6622,0.8483,0.2597,0.45,0.98,0.01,0.0
không tốt hàng rất mới made in japan tem dán bị bong không nên ham rẻ hàng nhật có 100k bao ship,0.4267,0.6252,0.4143,0.6219,0.4532,0.65,0.67,0.26,0.07
đã mua 2 quả bị hỏng cả 2 2 ngày vỏ banh mỏng không đều chất_lượng kém không bao_giờ mua,0.4716,0.6696,0.4681,0.7316,0.3303,0.73,0.98,0.01,0.02
so mức giá sản_phẩm quá tốt chủ cửa_hàng nhắn_tin nhiệt_tình,0.4423,0.6123,0.4284,0.6769,0.3856,0.49,0.0,0.01,0.99
vải mịn đep đường kim mũi chuẩn fom dáng đẹp cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,0.6861,0.7486,0.8613,0.9459,0.1549,0.78,0.04,0.02,0.95
thật dễ_dàng xác_định đối_tượng tham_nhũng chắc_chắn phải có chức có quyền muốn có chức_quyền phải bổ_nhiệm,0.5829,0.7588,0.6428,0.8341,0.2866,0.0,0.12,0.88,0.0
chất_lượng tạm ổn so giá tiền khá rẻ vậy cũng tốt rồi,0.3904,0.4561,0.3852,0.5175,0.4923,0.55,0.05,0.58,0.37
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn lần cũng hài_lòng cửa_hàng,0.5965,0.7377,0.6819,0.8382,0.283,0.54,0.0,0.0,1.0
10c bị lỗi 2chiec,0.4907,0.5064,0.6294,0.5847,0.5383,0.17,0.0,0.0,1.0
đây không có bọc đa đành còn bị nhăn rách nữa dính bụi cát chả hiểu tiki đóng_gói hay ngoài biển nữa quá tệ,0.4757,0.6835,0.4991,0.6828,0.4319,0.48,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất lâu không bị vỡ,0.6245,0.7551,0.7452,0.8946,0.232,0.69,0.01,0.01,0.98
mẫu ngoài không giống giờ anh lắmàu ngoài đậm quá,0.4085,0.3719,0.5042,0.443,0.5888,0.4,0.13,0.82,0.05
chất_lượng sản_phẩm tuyệt_vời lượng sản_phẩm tuyệt_vời phu_hợp moi cong viec,0.4735,0.6878,0.4768,0.6773,0.4378,0.33,0.0,0.0,1.0
ban hang thi nhanh ma giao thi chi co mot mau thoi jo hỏi thi không trả_lời,0.4121,0.6153,0.3793,0.6372,0.4106,0.13,0.99,0.01,0.0
màu_sắc tốt giống hình thấy kiểu_dáng khác hình trên cửa_hàng hình đã đăng lên mang cũng êm chân mua 3 dãn phẩm thấy thích_đáng tiền lần sẽ ủng_hộ cửa_hàng tiếp_tục ạ cửa_hàng_phục_vụ rất tốt chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh,0.637,0.8259,0.7525,0.8736,0.3078,0.89,0.01,0.03,0.96
